player_name,team,position,date,opponent,is_home,points,rebounds,assists,steals,blocks,three_pm
Luka Dončić,DAL,PG,2025-04-11,HOU,1,39,8,7,1,0,5
Luka Dončić,DAL,PG,2025-04-09,DAL,0,45,8,6,4,0,7
Luka Dončić,DAL,PG,2025-04-08,OKC,0,23,3,5,0,1,3
Luka Dončić,DAL,PG,2025-04-06,OKC,0,30,7,6,2,0,5
Luka Dončić,DAL,PG,2025-04-04,NOP,1,35,6,6,0,0,4
Luka Dončić,DAL,PG,2025-04-03,GSW,1,19,8,7,0,1,0
Luka Dončić,DAL,PG,2025-03-31,HOU,1,20,6,9,2,0,1
Luka Dončić,DAL,PG,2025-03-29,MEM,0,29,8,9,2,0,2
Luka Dončić,DAL,PG,2025-03-27,CHI,0,25,10,8,2,1,4
Luka Dončić,DAL,PG,2025-03-26,IND,0,34,7,7,0,1,6
Luka Dončić,DAL,PG,2025-03-24,ORL,0,32,7,7,1,0,4
Luka Dončić,DAL,PG,2025-03-22,CHI,1,34,8,6,0,0,8
Luka Dončić,DAL,PG,2025-03-19,DEN,1,31,8,7,2,1,4
Luka Dončić,DAL,PG,2025-03-17,SAS,1,21,9,14,3,1,1
Luka Dončić,DAL,PG,2025-03-16,PHX,1,33,11,8,2,0,4
Luka Dončić,DAL,PG,2025-03-13,MIL,0,45,11,3,2,1,7
Luka Dončić,DAL,PG,2025-03-10,BKN,0,22,12,12,2,0,3
Luka Dončić,DAL,PG,2025-03-08,BOS,0,34,8,3,1,0,5
Luka Dončić,DAL,PG,2025-03-06,NYK,1,32,7,12,4,0,4
Luka Dončić,DAL,PG,2025-03-04,NOP,1,30,8,15,1,1,6
Luka Dončić,DAL,PG,2025-03-02,LAC,1,29,6,9,2,0,5
Luka Dončić,DAL,PG,2025-02-28,LAC,1,31,2,5,3,0,3
Luka Dončić,DAL,PG,2025-02-27,MIN,1,21,13,5,0,0,1
Luka Dončić,DAL,PG,2025-02-25,DAL,1,19,15,12,3,2,1
Luka Dončić,DAL,PG,2025-02-22,DEN,0,32,10,7,4,1,4
Luka Dončić,DAL,PG,2025-02-19,CHA,1,14,11,8,1,0,1
Luka Dončić,DAL,PG,2025-02-12,UTA,0,16,4,4,1,1,3
Luka Dončić,DAL,PG,2025-02-10,UTA,1,14,5,4,0,0,1
Luka Dončić,DAL,PG,2024-12-25,MIN,1,14,5,2,1,0,3
Luka Dončić,DAL,PG,2024-12-23,POR,1,27,7,7,1,0,1
Luka Dončić,DAL,PG,2024-12-15,GSW,0,45,11,13,3,2,6
Luka Dončić,DAL,PG,2024-12-10,OKC,0,16,11,5,4,0,2
Luka Dončić,DAL,PG,2024-12-07,TOR,0,30,13,11,4,0,6
Luka Dončić,DAL,PG,2024-12-05,WAS,0,21,10,10,2,1,3
Luka Dončić,DAL,PG,2024-12-03,MEM,1,37,12,4,4,1,5
Luka Dončić,DAL,PG,2024-12-01,POR,0,36,7,13,3,0,4
Luka Dončić,DAL,PG,2024-11-19,NOP,1,26,5,5,3,1,3
Luka Dončić,DAL,PG,2024-11-16,SAS,1,16,6,6,2,0,3
Luka Dončić,DAL,PG,2024-11-14,UTA,0,37,7,9,1,0,4
Luka Dončić,DAL,PG,2024-11-12,GSW,0,31,8,6,3,0,2
Luka Dončić,DAL,PG,2024-11-10,DEN,0,24,9,9,1,1,2
Luka Dončić,DAL,PG,2024-11-08,PHX,1,30,7,7,1,0,5
Luka Dončić,DAL,PG,2024-11-06,CHI,1,27,7,13,4,0,3
Luka Dončić,DAL,PG,2024-11-04,IND,1,34,7,15,2,0,4
Luka Dončić,DAL,PG,2024-11-03,ORL,1,32,9,7,0,0,5
Luka Dončić,DAL,PG,2024-10-31,HOU,1,29,5,2,1,0,3
Luka Dončić,DAL,PG,2024-10-29,MIN,0,24,8,8,1,0,1
Luka Dončić,DAL,PG,2024-10-28,UTA,1,15,9,8,2,1,1
Luka Dončić,DAL,PG,2024-10-26,PHX,0,40,10,4,0,1,5
Luka Dončić,DAL,PG,2024-10-24,SAS,1,28,10,8,1,1,4
Nikola Jokić,DEN,C,2025-04-13,HOU,0,18,7,7,2,1,3
Nikola Jokić,DEN,C,2025-04-11,MEM,1,26,16,13,2,0,1
Nikola Jokić,DEN,C,2025-04-09,SAC,0,20,12,11,4,0,0
Nikola Jokić,DEN,C,2025-04-06,IND,1,41,15,13,2,1,3
Nikola Jokić,DEN,C,2025-04-04,GSW,0,33,12,9,2,0,4
Nikola Jokić,DEN,C,2025-04-01,MIN,1,61,10,10,2,0,6
Nikola Jokić,DEN,C,2025-03-28,UTA,1,27,14,6,4,0,1
Nikola Jokić,DEN,C,2025-03-26,MIL,1,39,10,10,0,0,3
Nikola Jokić,DEN,C,2025-03-15,WAS,1,40,13,9,1,2,1
