player_name,team,position,date,opponent,is_home,points,rebounds,assists,steals,blocks,three_pm
LeBron James,LAL,SF,2025-11-01,GSW,1,28,8,7,1,1,2
LeBron James,LAL,SF,2025-10-30,PHX,0,26,7,8,2,0,3
LeBron James,LAL,SF,2025-10-28,DEN,1,22,9,9,1,1,1
LeBron James,LAL,SF,2025-10-26,DAL,0,30,6,6,0,0,4
LeBron James,LAL,SF,2025-10-24,MEM,1,25,8,7,1,1,2
LeBron James,LAL,SF,2025-10-22,SAS,1,23,7,8,2,0,3
LeBron James,LAL,SF,2025-10-20,POR,0,27,9,9,1,1,2
LeBron James,LAL,SF,2025-10-18,SAC,1,21,8,7,0,0,1
LeBron James,LAL,SF,2025-10-16,LAC,0,29,7,8,2,1,3
LeBron James,LAL,SF,2025-10-14,GSW,1,24,8,7,1,0,2
LeBron James,LAL,SF,2025-10-12,PHX,1,26,7,8,1,1,2
LeBron James,LAL,SF,2025-10-10,UTA,0,28,9,9,2,0,3
LeBron James,LAL,SF,2025-10-08,MIN,1,25,6,7,1,1,2
LeBron James,LAL,SF,2025-10-06,DEN,0,27,8,8,0,0,3
LeBron James,LAL,SF,2025-10-04,HOU,1,23,7,7,1,1,2
LeBron James,LAL,SF,2025-10-02,NOP,0,31,9,10,2,1,4
LeBron James,LAL,SF,2025-09-30,OKC,1,26,8,8,1,0,3
LeBron James,LAL,SF,2025-09-28,MEM,0,24,7,7,1,1,2
LeBron James,LAL,SF,2025-09-26,DAL,1,29,8,9,2,1,3
LeBron James,LAL,SF,2025-09-24,PHX,0,25,7,8,1,0,2
Stephen Curry,GSW,PG,2025-11-01,LAL,0,30,5,6,2,0,5
Stephen Curry,GSW,PG,2025-10-30,SAC,1,25,4,7,1,0,4
Stephen Curry,GSW,PG,2025-10-28,PHX,0,28,6,5,2,0,6
Stephen Curry,GSW,PG,2025-10-26,POR,1,24,4,8,1,0,3
Stephen Curry,GSW,PG,2025-10-24,LAC,0,29,5,6,2,0,5
Stephen Curry,GSW,PG,2025-10-22,DEN,1,26,4,7,1,0,4
Stephen Curry,GSW,PG,2025-10-20,UTA,1,31,6,6,2,0,6
Stephen Curry,GSW,PG,2025-10-18,MIN,0,23,4,7,1,0,4
Stephen Curry,GSW,PG,2025-10-16,DAL,1,27,5,6,2,0,5
Stephen Curry,GSW,PG,2025-10-14,LAL,0,28,6,7,1,0,6
Stephen Curry,GSW,PG,2025-10-12,SAS,1,29,4,6,2,0,5
Stephen Curry,GSW,PG,2025-10-10,HOU,0,26,5,7,1,0,4
Stephen Curry,GSW,PG,2025-10-08,MEM,1,28,6,6,2,0,5
Stephen Curry,GSW,PG,2025-10-06,NOP,0,25,4,7,1,0,4
Stephen Curry,GSW,PG,2025-10-04,PHX,1,30,5,6,2,0,6
Stephen Curry,GSW,PG,2025-10-02,OKC,0,32,6,8,2,1,7
Stephen Curry,GSW,PG,2025-09-30,SAC,1,27,5,6,1,0,5
Stephen Curry,GSW,PG,2025-09-28,POR,0,29,4,7,2,0,6
Stephen Curry,GSW,PG,2025-09-26,LAC,1,26,5,6,1,0,4
Stephen Curry,GSW,PG,2025-09-24,DEN,0,31,6,7,2,0,6
Giannis Antetokounmpo,MIL,PF,2025-11-01,CHI,0,34,12,5,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-30,IND,1,32,11,6,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-28,DET,0,28,13,5,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-26,CLE,1,35,12,7,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-24,TOR,0,31,14,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-22,ATL,1,33,11,5,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-20,BOS,0,29,13,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-18,PHI,1,36,12,7,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-16,BKN,1,32,13,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-14,CHI,1,31,12,5,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-12,WAS,0,33,13,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-10,ORL,1,35,12,7,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-08,CHA,0,32,11,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-06,MIA,1,30,14,5,2,1,0
Giannis Antetokounmpo,MIL,PF,2025-10-04,IND,0,34,12,6,1,2,0
Giannis Antetokounmpo,MIL,PF,2025-10-02,NYK,1,37,13,7,2,2,1
Giannis Antetokounmpo,MIL,PF,2025-09-30,CLE,0,33,12,6,1,1,0
Giannis Antetokounmpo,MIL,PF,2025-09-28,DET,1,31,14,5,2,2,0
Giannis Antetokounmpo,MIL,PF,2025-09-26,TOR,0,35,11,6,1,1,0
Giannis Antetokounmpo,MIL,PF,2025-09-24,ATL,1,32,13,7,2,2,0
Nikola Jokić,DEN,C,2025-11-01,MIN,1,26,13,10,2,1,1
Nikola Jokić,DEN,C,2025-10-30,UTA,0,25,12,9,1,0,1
Nikola Jokić,DEN,C,2025-10-28,LAL,0,28,14,11,2,1,2
Nikola Jokić,DEN,C,2025-10-26,PHX,1,24,11,8,1,0,1
Nikola Jokić,DEN,C,2025-10-24,POR,0,27,13,10,2,1,1
Nikola Jokić,DEN,C,2025-10-22,SAC,1,26,12,9,1,0,2
Nikola Jokić,DEN,C,2025-10-20,GSW,0,29,15,11,2,1,1
Nikola Jokić,DEN,C,2025-10-18,LAC,1,25,12,9,1,0,1
Nikola Jokić,DEN,C,2025-10-16,OKC,0,27,13,10,2,1,2
Nikola Jokić,DEN,C,2025-10-14,MIN,1,26,14,9,1,0,1
Nikola Jokić,DEN,C,2025-10-12,DAL,0,28,13,10,2,1,1
Nikola Jokić,DEN,C,2025-10-10,MEM,1,27,12,11,1,0,2
Nikola Jokić,DEN,C,2025-10-08,NOP,0,26,14,9,2,1,1
Nikola Jokić,DEN,C,2025-10-06,SAS,1,25,13,10,1,0,1
Nikola Jokić,DEN,C,2025-10-04,HOU,0,27,12,9,2,1,2
Nikola Jokić,DEN,C,2025-10-02,NOP,1,29,14,12,2,1,2
Nikola Jokić,DEN,C,2025-09-30,UTA,0,26,13,10,1,0,1
Nikola Jokić,DEN,C,2025-09-28,MIN,1,28,12,11,2,1,2
Nikola Jokić,DEN,C,2025-09-26,OKC,0,25,14,9,1,1,1
Nikola Jokić,DEN,C,2025-09-24,PHX,1,27,13,10,2,0,2
Luka Dončić,DAL,PG,2025-11-01,PHX,1,29,8,9,1,0,2
Luka Dončić,DAL,PG,2025-10-30,SAS,0,27,9,7,2,0,3
Luka Dončić,DAL,PG,2025-10-28,HOU,1,31,7,10,1,0,2
Luka Dončić,DAL,PG,2025-10-26,GSW,0,26,8,8,2,0,3
Luka Dončić,DAL,PG,2025-10-24,MEM,1,30,9,9,1,0,2
Luka Dončić,DAL,PG,2025-10-22,NOP,0,28,8,7,2,0,3
Luka Dončić,DAL,PG,2025-10-20,UTA,1,32,7,11,1,0,2
Luka Dončić,DAL,PG,2025-10-18,POR,0,27,9,6,2,0,3
Luka Dončić,DAL,PG,2025-10-16,SAC,1,29,8,9,1,0,2
Luka Dončić,DAL,PG,2025-10-14,LAC,0,30,7,8,2,0,3
Luka Dončić,DAL,PG,2025-10-12,DEN,1,28,9,10,1,0,2
Luka Dončić,DAL,PG,2025-10-10,MIN,0,31,8,9,2,0,3
Luka Dončić,DAL,PG,2025-10-08,OKC,1,29,7,8,1,0,2
Luka Dončić,DAL,PG,2025-10-06,PHX,0,27,9,7,2,0,3
Luka Dončić,DAL,PG,2025-10-04,GSW,1,30,8,9,1,0,2
Luka Dončić,DAL,PG,2025-10-02,LAL,0,33,9,11,2,0,4
Luka Dončić,DAL,PG,2025-09-30,SAS,1,28,8,8,1,0,2
Luka Dončić,DAL,PG,2025-09-28,HOU,0,30,7,10,2,0,3
Luka Dončić,DAL,PG,2025-09-26,MEM,1,29,9,9,1,0,2
