player_name,team,position,date,opponent,is_home,points,rebounds,assists,steals,blocks,three_pm
Alperen Sengun,HOU,C,2025-12-15,DEN,0,33,10,10,2,1,0
Alperen Sengun,HOU,C,2025-12-11,LAC,1,22,15,5,4,0,0
Alperen Sengun,HOU,C,2025-12-03,SAC,1,28,10,3,4,0,0
Alperen Sengun,HOU,C,2025-12-01,UTA,0,31,8,14,2,5,1
Alperen Sengun,HOU,C,2025-11-30,UTA,0,27,4,5,1,0,0
Alperen Sengun,HOU,C,2025-11-26,GSW,0,16,6,6,1,0,0
Alperen Sengun,HOU,C,2025-11-24,PHX,0,18,5,5,0,1,2
Alperen Sengun,HOU,C,2025-11-21,DEN,1,14,5,6,1,0,0
Alperen Sengun,HOU,C,2025-11-19,CLE,0,28,11,7,1,1,0
Alperen Sengun,HOU,C,2025-11-16,ORL,1,30,12,8,0,2,0
Alperen Sengun,HOU,C,2025-11-14,POR,1,25,10,9,3,3,4
Alperen Sengun,HOU,C,2025-11-12,WAS,1,16,13,6,0,0,2
Alperen Sengun,HOU,C,2025-11-09,MIL,0,23,11,7,0,0,1
Alperen Sengun,HOU,C,2025-11-07,SAS,0,25,9,8,1,1,1
Alperen Sengun,HOU,C,2025-11-05,MEM,0,20,16,7,1,1,0
Alperen Sengun,HOU,C,2025-11-03,DAL,1,26,11,6,1,0,0
Alperen Sengun,HOU,C,2025-11-01,BOS,0,16,10,9,1,2,1
Alperen Sengun,HOU,C,2025-10-29,TOR,0,18,8,9,2,2,1
Alperen Sengun,HOU,C,2025-10-27,BKN,1,21,6,6,1,0,2
Alperen Sengun,HOU,C,2025-10-24,DET,1,17,7,7,3,0,0
Alperen Sengun,HOU,C,2025-10-21,OKC,0,39,11,7,2,1,5
Andrew Wiggins,MIA,SF,2025-12-15,TOR,1,10,2,2,2,3,2
Andrew Wiggins,MIA,SF,2025-12-09,ORL,0,19,2,2,1,1,3
Andrew Wiggins,MIA,SF,2025-12-06,SAC,1,13,4,4,0,0,1
Andrew Wiggins,MIA,SF,2025-12-05,ORL,0,13,5,1,1,3,2
Andrew Wiggins,MIA,SF,2025-12-03,DAL,0,11,6,5,1,1,1
Andrew Wiggins,MIA,SF,2025-12-01,LAC,1,22,9,3,0,3,2
Andrew Wiggins,MIA,SF,2025-11-29,DET,1,31,6,4,3,0,2
Andrew Wiggins,MIA,SF,2025-11-26,MIL,1,11,2,3,0,2,1
Andrew Wiggins,MIA,SF,2025-11-19,GSW,1,17,6,1,2,1,2
Andrew Wiggins,MIA,SF,2025-11-17,NYK,1,6,4,4,0,1,0
Andrew Wiggins,MIA,SF,2025-11-14,NYK,0,15,7,3,0,1,1
Andrew Wiggins,MIA,SF,2025-11-12,CLE,1,17,9,6,0,2,2
Andrew Wiggins,MIA,SF,2025-11-10,CLE,1,23,2,5,1,0,2
Andrew Wiggins,MIA,SF,2025-11-08,POR,1,15,3,1,2,1,2
Andrew Wiggins,MIA,SF,2025-11-07,CHA,1,22,4,4,1,1,4
Andrew Wiggins,MIA,SF,2025-11-05,DEN,0,22,4,5,2,1,3
Andrew Wiggins,MIA,SF,2025-11-03,LAC,0,17,2,2,1,1,3
Andrew Wiggins,MIA,SF,2025-11-02,LAL,0,15,9,1,1,1,1
Andrew Wiggins,MIA,SF,2025-10-30,SAS,0,24,6,2,2,0,2
Andrew Wiggins,MIA,SF,2025-10-28,CHA,1,21,2,2,3,1,3
Andrew Wiggins,MIA,SF,2025-10-26,NYK,1,9,5,2,0,1,1
Andrew Wiggins,MIA,SF,2025-10-24,MEM,0,10,7,3,1,1,0
Andrew Wiggins,MIA,SF,2025-10-22,ORL,0,18,4,1,1,1,1
Anfernee Simons,BOS,PG,2025-12-15,DET,1,9,0,1,0,0,0
Anfernee Simons,BOS,PG,2025-12-11,MIL,0,7,0,2,1,0,1
Anfernee Simons,BOS,PG,2025-12-07,TOR,0,12,3,2,0,0,2
Anfernee Simons,BOS,PG,2025-12-05,LAL,1,8,4,2,0,0,2
Anfernee Simons,BOS,PG,2025-12-04,WAS,0,16,2,3,2,0,4
Anfernee Simons,BOS,PG,2025-12-02,NYK,1,12,1,3,0,0,1
Anfernee Simons,BOS,PG,2025-11-30,CLE,0,18,1,2,1,0,2
Anfernee Simons,BOS,PG,2025-11-29,MIN,0,5,1,1,0,0,1
Anfernee Simons,BOS,PG,2025-11-26,DET,1,5,1,4,0,1,1
Anfernee Simons,BOS,PG,2025-11-23,ORL,1,23,5,2,0,0,4
Anfernee Simons,BOS,PG,2025-11-21,BKN,1,23,3,4,2,0,2
Anfernee Simons,BOS,PG,2025-11-18,BKN,0,11,4,5,0,0,2
Anfernee Simons,BOS,PG,2025-11-16,LAC,1,0,0,2,0,0,0
Anfernee Simons,BOS,PG,2025-11-12,MEM,1,6,4,7,0,0,2
Anfernee Simons,BOS,PG,2025-11-11,PHI,0,17,4,5,0,0,3
Anfernee Simons,BOS,PG,2025-11-09,ORL,0,25,1,3,0,0,5
Anfernee Simons,BOS,PG,2025-11-07,ORL,0,11,2,2,0,1,3
Anfernee Simons,BOS,PG,2025-11-05,WAS,1,18,0,2,1,0,4
Anfernee Simons,BOS,PG,2025-11-03,UTA,1,15,1,2,0,0,2
Anfernee Simons,BOS,PG,2025-11-01,HOU,1,3,1,0,0,0,1
Anfernee Simons,BOS,PG,2025-10-31,PHI,0,19,4,2,0,1,3
Anfernee Simons,BOS,PG,2025-10-29,CLE,1,14,0,2,0,0,4
Anfernee Simons,BOS,PG,2025-10-27,NOP,0,25,6,1,1,0,6
Anfernee Simons,BOS,PG,2025-10-26,DET,0,12,1,0,0,0,2
Anfernee Simons,BOS,PG,2025-10-24,NYK,0,10,1,4,3,0,1
Anfernee Simons,BOS,PG,2025-10-22,PHI,1,13,4,1,1,1,2
Anthony Davis,DAL,C,2025-12-12,BKN,1,24,14,3,3,2,0
Anthony Davis,DAL,C,2025-12-06,HOU,1,29,8,2,2,1,0
Anthony Davis,DAL,C,2025-12-05,OKC,0,2,8,6,0,1,0
Anthony Davis,DAL,C,2025-12-03,MIA,1,17,17,4,1,3,2
Anthony Davis,DAL,C,2025-12-01,DEN,0,32,13,4,1,2,2
Anthony Davis,DAL,C,2025-11-28,LAL,0,12,5,5,0,3,0
Anthony Davis,DAL,C,2025-10-29,IND,1,4,4,0,1,0,0
Anthony Davis,DAL,C,2025-10-27,OKC,1,26,11,3,0,1,1
Anthony Davis,DAL,C,2025-10-26,TOR,1,25,10,3,3,2,0
Anthony Davis,DAL,C,2025-10-24,WAS,1,27,13,4,2,2,0
Anthony Davis,DAL,C,2025-10-22,SAS,1,22,13,1,2,1,2
Anthony Edwards,MIN,SG,2025-12-08,PHX,1,40,9,2,1,0,3
Anthony Edwards,MIN,SG,2025-12-06,LAC,1,15,6,4,1,2,0
Anthony Edwards,MIN,SG,2025-12-04,NOP,0,11,6,4,1,3,2
Anthony Edwards,MIN,SG,2025-12-02,NOP,0,44,5,4,0,1,6
Anthony Edwards,MIN,SG,2025-11-30,SAS,1,32,3,6,0,0,4
Anthony Edwards,MIN,SG,2025-11-29,BOS,1,39,2,5,0,1,5
Anthony Edwards,MIN,SG,2025-11-26,OKC,0,31,8,5,0,0,5
Anthony Edwards,MIN,SG,2025-11-24,SAC,0,43,7,4,3,1,5
Anthony Edwards,MIN,SG,2025-11-21,PHX,0,41,5,4,4,1,5
Anthony Edwards,MIN,SG,2025-11-19,WAS,1,18,2,2,2,1,1
Anthony Edwards,MIN,SG,2025-11-17,DAL,1,13,4,3,2,0,1
Anthony Edwards,MIN,SG,2025-11-15,DEN,1,26,8,6,3,2,0
Anthony Edwards,MIN,SG,2025-11-14,SAC,1,30,4,4,2,0,1
Anthony Edwards,MIN,SG,2025-11-10,UTA,0,35,6,6,0,1,5
